Fastq,Fasta,BAM,Sample name,Sample Description,Bed Number,Strata,Sample Time Point,Sample Day,Sample Type,Field Location,Location,Round,Replicate,Total reads,PicoGreen,NanoDrop
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1045.fastq,339-16S_For_bc1012-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1045.bam,UI00339,Cloth produce bottom,Bed 5,,Preharvest,Day 2,Cloth,Center,Bottom,,,14637,4.9,4
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1045.fastq,342-16S_For_bc1020-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1045.bam,UI00342,Cloth produce bottom,Bed 7,,Preharvest,Day 2,Cloth,Center,Bottom,,,23388,6.4,15.8
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1054.fastq,343-16S_For_bc1007-16S_Rev_bc1054.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1054.bam,UI00343,Cloth produce bottom,Bed 8,,Preharvest,Day 2,Cloth,Center,Bottom,,,22780,4.4,15.3
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1033.fastq,11-16S_For_bc1005-16S_Rev_bc1033.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1033.bam,UI00011,Cloth produce sides,Edge,,Preharvest,Day 1,Cloth,Edge,Sides,,,21146,5.3,22.5
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1044.fastq,346-16S_For_bc1012-16S_Rev_bc1044.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1044.bam,UI00346,Cloth produce sides,Edge,,Preharvest,Day 2,Cloth,Edge,Sides,,,15422,5.4,17.5
Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1044.fastq,349-16S_For_bc1024-16S_Rev_bc1044.fasta,Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1044.bam,UI00349,Cloth produce sides,Bed 1,,Preharvest,Day 2,Cloth,Bed 1 Edge,Sides,,,7634,3.2,11.8
Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1045.fastq,341-16S_For_bc1024-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1045.bam,UI00341,Cloth produce sides,Bed 7,,Preharvest,Day 2,Cloth,Center,Sides,,,14028,4.9,3.8
Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1056.fastq,172-16S_For_bc1022-16S_Rev_bc1056.fasta,Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1056.bam,UI00172,Produce bins,,,Harvest,Day 2,Produce,,Bins,1,,27811,49,28.5
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1057.fastq,168-16S_For_bc1008-16S_Rev_bc1057.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1057.bam,UI00168,Produce bins,,,Harvest,Day 2,Produce,,Bins,5,,23441,60.8,34.5
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1059.fastq,293-16S_For_bc1008-16S_Rev_bc1059.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1059.bam,UI00293,Produce bins,,,Harvest,Day 1,Produce,,Bins,4,,26949,9.5,6.4
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1033.fastq,164-16S_For_bc1008-16S_Rev_bc1033.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1033.bam,UI00164,Produce bottom,Edge,,Preharvest,Day 1,Produce,Edge,Bottom,,,19529,14.1,NA
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1033.fastq,159-16S_For_bc1020-16S_Rev_bc1033.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1033.bam,UI00159,Produce bottom,Bed 1,,Preharvest,Day 1,Produce,Bed 1 Edge,Bottom,,,23544,23.7,21
Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1033.fastq,88-16S_For_bc1024-16S_Rev_bc1033.fasta,Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1033.bam,UI00088,Produce bottom,Bed 5,,Preharvest,Day 1,Produce,Center,Bottom,,,23619,3.1,NA
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1035.fastq,86-16S_For_bc1007-16S_Rev_bc1035.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1035.bam,UI00086,Produce bottom,Bed 6,,Preharvest,Day 1,Produce,Center,Bottom,,,22451,26.6,23.4
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1035.fastq,45-16S_For_bc1012-16S_Rev_bc1035.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1035.bam,UI00045,Produce bottom,Bed 7,,Preharvest,Day 1,Produce,Center,Bottom,,,19209,112.5,101.8
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1035.fastq,162-16S_For_bc1015-16S_Rev_bc1035.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1035.bam,UI00162,Produce bottom,Bed 1,,Preharvest,Day 1,Produce,Center,Bottom,,,20130,9.1,NA
Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1044.fastq,410-16S_For_bc1022-16S_Rev_bc1044.fasta,Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1044.bam,UI00410,Produce bottom,Edge,,Preharvest,Day 2,Produce,Edge,Bottom,,,20095,206.1,189.2
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1045.fastq,416-16S_For_bc1008-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1045.bam,UI00416,Produce bottom,Bed 3,,Preharvest,Day 2,Produce,Center,Bottom,,,23855,18.7,18.2
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1045.fastq,415-16S_For_bc1015-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1045.bam,UI00415,Produce bottom,Bed 5,,Preharvest,Day 2,Produce,Center,Bottom,,,22432,40.3,41.3
Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1045.fastq,413-16S_For_bc1022-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1045.bam,UI00413,Produce bottom,Bed 7,,Preharvest,Day 2,Produce,Center,Bottom,,,24415,84.4,76.5
Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1054.fastq,412-16S_For_bc1008-16S_Rev_bc1054.fasta,Stasiewicz_16S_demult.16S_For_bc1008--16S_Rev_bc1054.bam,UI00412,Produce bottom,Bed 8,,Preharvest,Day 2,Produce,Center,Bottom,,,21034,3.6,NA
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1060.fastq,218-16S_For_bc1005-16S_Rev_bc1060.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1060.bam,UI00218,Produce interior,,Interior,Post Harvest,Day 2,Produce,,Produce interior,1,1,28957,68.6,117.8
Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1060.fastq,215-16S_For_bc1007-16S_Rev_bc1060.fasta,Stasiewicz_16S_demult.16S_For_bc1007--16S_Rev_bc1060.bam,UI00215,Produce interior,,Interior,Post Harvest,Day 2,Produce,,Produce interior,1,2,30770,613.6,754.3
Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1060.fastq,223-16S_For_bc1024-16S_Rev_bc1060.fasta,Stasiewicz_16S_demult.16S_For_bc1024--16S_Rev_bc1060.bam,UI00223,Produce interior,,Interior,Post Harvest,Day 2,Produce,,Produce interior,3,1,34816,809.1,654.2
