Samples.ID,Sample.Type,Bed.number,Hand.msd,Wet.dry,Top.bottom,Date.collected,Date.processed,Weight.g.,PBS.added.ml.,Log.APC.,Log.Coli.,Log.E.coli.,Opportunity,Zone
Tis5,Produce Sample,Edge Creek,NA,NA,Bottom,6/27/2022,6/29/2022,380.6,360.6,7.73506011,7.68763546,NA,Repeat,Edge Creek
MT19,Aggregative Swab,Edge Creek,MSD,WET,Bottom,6/27/2022,6/29/2022,33.58,30.12,8.431959096,7.622425156,NA,Repeat,Edge Creek
MT23,Aggregative Swab,Edge Creek,MSD,WET,Top,6/27/2022,6/29/2022,31.11,32.59,8.178763849,8.138115543,NA,Repeat,Edge Creek
MT10,Aggregative Swab,4,MSD,WET,Bottom,6/27/2022,6/29/2022,31.64,32.06,8.254377974,7.970545021,NA,Repeat,Center
MT7,Aggregative Swab,6,MSD,WET,Top,6/27/2022,6/29/2022,30.84,32.86,8.466263327,6.666785321,NA,Repeat,Center
MT13,Aggregative Swab,6,MSD,WET,Bottom,6/27/2022,6/29/2022,31.39,32.31,8.463505893,7.723680564,NA,Repeat,Center
MT24,Aggregative Swab,1,MSD,WET,Top,6/27/2022,6/29/2022,24.2,39.5,7.882543421,7.62484463,NA,Repeat,Center
MT27,Aggregative Swab,1,HAND,WET,Top,6/27/2022,6/29/2022,32.62,31.08,8.670602121,TNTC,NA,Repeat,Center
MT28,Aggregative Swab,2,HAND,WET,Top,6/27/2022,6/29/2022,34.45,29.25,7.4,TNTC,NA,Repeat,Center
MT29,Aggregative Swab,2,HAND,WET,Top,6/27/2022,6/29/2022,30.22,33.48,8.774405842,8.733184105,NA,Repeat,Center
MT25,Aggregative Swab,Edge Creek,MSD,WET,Top,6/27/2022,6/29/2022,31.91,31.79,8.303035978,8.243038049,NA,Repeat,Edge Creek
MT9,Aggregative Swab,5,MSD,WET,Top,6/27/2022,6/29/2022,31.46,32.24,8.216996247,TNTC,NA,Repeat,Center
MT18,Aggregative Swab,Edge Creek,MSD,WET,Bottom,6/27/2022,6/29/2022,33.84,29.86,7.816730156,7.01616166,NA,Repeat,Edge Creek
MT36,Aggregative Swab,Edge Creek,HAND,WET,Top,6/27/2022,6/29/2022,32.88,30.82,8.466263327,TNTC,NA,Repeat,Edge Creek
MT3,Aggregative Swab,5,MSD,DRY,Bottom,6/27/2022,6/29/2022,22.26,41.44,5.361727836,,NA,Repeat,Center
MT5,Aggregative Swab,6,MSD,DRY,Bottom,6/27/2022,6/29/2022,21.8,41.9,5.556302501,,NA,Repeat,Center
MT26,Aggregative Swab,1,MSD,WET,Bottom,6/27/2022,6/29/2022,31.62,32.08,8.643729974,8.490322711,NA,Repeat,Center
MT15,Aggregative Swab,Edge Creek,MSD,DRY,Top,6/27/2022,6/29/2022,22.97,40.73,5.908485019,5.544068044,NA,Repeat,Edge Creek
MT35,Aggregative Swab,Edge Creek,MSD,WET,Top,6/27/2022,6/29/2022,34.06,29.64,,TNTC,NA,Repeat,Edge Creek
